geoid,name,state,lat,lon,pop
0600884,Alhambra,CA,34.08357,-118.13644,80279
4826232,Flower Mound,TX,33.03789,-97.11338,79990
1805860,Bloomington,IN,39.1637,-86.52426,79986
4652980,Rapid City,SD,44.07107,-103.21792,79894
0647766,Milpitas,CA,37.43314,-121.89092,79746
2629000,Flint,MI,43.02442,-83.69197,79735
0681344,Upland,CA,34.11607,-117.65992,79684
4206088,Bethlehem,PA,40.62642,-75.3679,79453
3961000,Parma,OH,41.38357,-81.72864,79350
1706613,Bloomington,IL,40.47578,-88.96991,79232
2108902,Bowling Green,KY,36.97565,-86.43596,79076
0680854,Tustin,CA,33.73092,-117.8106,78863
0600562,Alameda,CA,37.74191,-122.25991,78795
4848804,Missouri City,TX,29.56294,-95.536,78582
2688940,Wyoming,MI,42.89032,-85.70673,78559
2751730,Plymouth,MN,45.02231,-93.46288,78551
0639892,Lakewood,CA,33.84714,-118.12189,78494
4813552,Cedar Park,TX,30.51018,-97.81863,78380
2669035,Rochester Hills,MI,42.66348,-83.1592,78330
0809280,Broomfield,CO,39.95359,-105.05079,78323
1348288,Mableton,GA,33.81447,-84.56575,78314
3050200,Missoula,MT,46.87436,-114.02614,78204
5566000,Racine,WI,42.72557,-87.81422,78057
2735180,Lakeville,MN,44.67613,-93.25174,77971
3807200,Bismarck,ND,46.81458,-100.77009,77772
0423620,Flagstaff,AZ,35.18521,-111.6207,77539
0613214,Chino Hills,CA,33.94297,-117.72565,77418
0657456,Pittsburg,CA,38.01677,-121.89695,77131
1768003,Schaumburg,IL,42.0289,-88.08377,77099
4454640,Pawtucket,RI,41.87482,-71.37332,76996
0650258,Napa,CA,38.29787,-122.30074,76921
2674900,Southfield,MI,42.47464,-83.25951,76874
1902305,Ankeny,IA,41.73017,-93.60251,76727
1938595,Iowa City,IA,41.65566,-91.53086,76710
0444410,Maricopa,AZ,33.04194,-111.99926,76654
1239550,Lauderhill,FL,26.16222,-80.22443,76627
5343955,Marysville,WA,48.08021,-122.15431,76209
1831000,Hammond,IN,41.61874,-87.49495,76030
1724582,Evanston,IL,42.04639,-87.69435,76006
3701520,Apex,NC,35.72463,-78.87874,75977
4269000,Scranton,PA,41.40418,-75.66591,75905
0950370,New Britain,CT,41.67656,-72.78616,75871
4561405,Rock Hill,SC,34.93822,-81.01918,75798
0604982,Bellflower,CA,33.88782,-118.12725,75716
0657792,Pleasanton,CA,37.66719,-121.88123,75664
0560410,Rogers,AR,36.31809,-94.15229,75639
1702154,Arlington Heights,IL,42.09736,-87.98167,75596
5502375,Appleton,WI,44.27887,-88.38828,75344
1854180,Noblesville,IN,40.0353,-86.00016,75239
2706382,Blaine,MN,45.17052,-93.20609,75172
1270675,Tamarac,FL,26.2033,-80.25603,75147
0662364,Rocklin,CA,38.80687,-121.2497,75129
0602364,Apple Valley,CA,34.53338,-117.21036,75029
1707133,Bolingbrook,IL,41.68806,-88.10097,74756
2829700,Gulfport,MS,30.41949,-89.06902,74621
3403580,Bayonne,NJ,40.66249,-74.1102,74532
4530850,Greenville,SC,34.8369,-82.363,74371
4865600,San Marcos,TX,29.8724,-97.93602,74316
0659962,Redlands,CA,34.05351,-117.17048,74279
1983910,West Des Moines,IA,41.54994,-93.78135,73664
4738320,Johnson City,TN,36.34233,-82.38092,73635
0639486,Lake Elsinore,CA,33.68596,-117.3354,73595
2524960,Framingham,MA,42.3079,-71.4362,73361
2642160,Kalamazoo,MI,42.27516,-85.5885,73290
1077580,Wilmington,DE,39.73565,-75.5321,73176
1612250,Caldwell,ID,43.64588,-116.65934,73088
0680812,Turlock,CA,37.50552,-120.85927,72888
2740166,Maple Grove,MN,45.11276,-93.46298,72739
0680644,Tulare,CA,36.19937,-119.34192,72601
2964082,St. Charles,MO,38.7957,-90.51536,72458
5522300,Eau Claire,WI,44.81834,-91.49477,72331
4832372,Harlingen,TX,26.1912,-97.69738,72234
2756896,St. Cloud,MN,45.52666,-94.17101,72145
3649121,Mount Vernon,NY,40.91311,-73.82932,71999
3419390,East Orange,NJ,40.76505,-74.21165,71850
1840788,Lafayette,IN,40.39941,-86.86281,71757
3410000,Camden,NJ,39.93679,-75.10664,71749
0121184,Dothan,AL,31.2337,-85.40682,71650
5584250,Waukesha,WI,43.00908,-88.24506,71461
4852356,North Richland Hills,TX,32.86058,-97.21915,71436
2964550,St. Joseph,MO,39.75946,-94.82114,71098
1262625,St. Cloud,FL,28.23522,-81.28396,71036
3734200,Jacksonville,NC,34.72973,-77.39366,70840
0683346,Walnut Creek,CA,37.90267,-122.04048,70817
0621230,Eastvale,CA,33.96327,-117.58237,70751
3456550,Passaic,NJ,40.85755,-74.12909,70722
0515190,Conway,AR,35.0744,-92.467,70711
2431175,Gaithersburg,MD,39.1486,-77.19513,70686
1276582,Weston,FL,26.10039,-80.40206,70674
0831660,Grand Junction,CO,39.08906,-108.56745,70554
0620018,Dublin,CA,37.71614,-121.89623,70544
1250750,Ocala,FL,29.17751,-82.15103,70251
0816495,Commerce City,CO,39.88279,-104.79491,70245
1217100,Delray Beach,FL,26.4559,-80.09042,70140
0610046,Camarillo,CA,34.22182,-119.03215,69881
2064500,Shawnee,KS,39.01749,-94.8058,69724
2360545,Portland,ME,43.63316,-70.1853,69568
1639700,Idaho Falls,ID,43.48885,-112.0363,69523
3665508,Schenectady,NY,42.80264,-73.9272,69495
4737640,Jackson,TN,35.65415,-88.83497,69303
0603666,Baldwin Park,CA,34.08282,-117.97129,69247
3912000,Canton,OH,40.80765,-81.36723,69211
0686972,Yuba City,CA,39.12984,-121.64155,69148
0645022,Madera,CA,36.96577,-120.08616,69094
1901855,Ames,IA,42.02633,-93.62126,69026
0410530,Casa Grande,AZ,32.90692,-111.76349,68927
1718823,Decatur,IL,39.85598,-88.93375,68763
0642202,Lodi,CA,38.12161,-121.29076,68642
2467675,Rockville,MD,39.08367,-77.15559,68417
2529405,Haverhill,MA,42.78294,-71.08744,68291
1829898,Greenwood,IN,39.60299,-86.1085,68175
4863572,Rowlett,TX,32.91593,-96.54859,68123
0660018,Redondo Beach,CA,33.84954,-118.40076,68075
2659440,Novi,MI,42.47849,-83.48682,67675
0655282,Palo Alto,CA,37.39652,-122.14309,67658
1827000,Gary,IN,41.59074,-87.34711,67555
1982425,Waterloo,IA,42.49233,-92.35195,67477
1301696,Alpharetta,GA,34.07087,-84.27265,67275
5560500,Oshkosh,WI,44.02317,-88.56226,67242
2717288,Eagan,MN,44.81522,-93.16282,67240
0618100,Davis,CA,38.55615,-121.73779,67125
3733120,Huntersville,NC,35.40681,-80.86868,67087
1263650,Sanford,FL,28.78943,-81.27562,66919
3474630,Union City,NJ,40.76743,-74.03228,66918
4857176,Pflugerville,TX,30.44777,-97.60212,66819
1301052,Albany,GA,31.57812,-84.17622,66705
2537875,Malden,MA,42.42938,-71.05871,66693
1258575,Port Orange,FL,29.11344,-81.01322,66556
0686832,Yorba Linda,CA,33.88904,-117.77207,66489
5361115,Sammamish,WA,47.59427,-122.03808,66474
5537825,Janesville,WI,42.6847,-89.01317,66428
0608142,Brentwood,CA,37.93558,-121.71897,66286
5363960,Shoreline,WA,47.75692,-122.34551,66251
0681204,Union City,CA,37.60276,-122.01884,66196
4875428,Victoria,TX,28.82853,-96.98601,66020
1757225,Palatine,IL,42.11647,-88.04436,65951
1770122,Skokie,IL,42.03597,-87.73999,65850
2572600,Waltham,MA,42.38892,-71.24227,65849
4839952,Kyle,TX,29.99412,-97.88332,65833
3944856,Lorain,OH,41.43881,-82.17972,65751
5613900,Cheyenne,WY,41.12727,-104.79022,65704
0857630,Parker,CO,39.50595,-104.77583,65473
1851876,Muncie,IN,40.19883,-85.39506,65320
2708794,Burnsville,MN,44.76441,-93.27937,64864
3103950,Bellevue,NE,41.1633,-95.90327,64777
0673262,South San Francisco,CA,37.6551,-122.37623,64660
2239475,Kenner,LA,30.01023,-90.25482,64650
0550450,North Little Rock,AR,34.78175,-92.23506,64498
5358235,Richland,WA,46.28409,-119.29405,64372
4950150,Millcreek,UT,40.68902,-111.82956,64217
0639248,Laguna Niguel,CA,33.52865,-117.70125,64185
0145784,Madison,AL,34.71053,-86.76228,64029
3711800,Chapel Hill,NC,35.92833,-79.04138,64028
3933012,Hamilton,OH,39.39343,-84.56575,63953
4733280,Hendersonville,TN,36.30729,-86.59889,63947
4049200,Moore,OK,35.3285,-97.47476,63845
2713114,Coon Rapids,MN,45.17641,-93.31145,63807
3676540,Utica,NY,43.09638,-75.22598,63660
0644574,Lynwood,CA,33.92396,-118.20166,63596
0658240,Porterville,CA,36.06354,-119.0336,63517
1254075,Palm Beach Gardens,FL,26.84879,-80.16712,63284
1275812,Wellington,FL,26.64899,-80.26721,63258
2208920,Bossier City,LA,32.52367,-93.65543,63218
1349756,Marietta,GA,33.95356,-84.54246,63122
1882700,Westfield,IN,40.03601,-86.15221,62994
1235875,Jupiter,FL,26.91855,-80.11694,62987
0686328,Woodland,CA,38.67116,-121.75004,62983
4880356,Wylie,TX,33.03583,-96.52019,62954
2718116,Eden Prairie,MN,44.8496,-93.45872,62905
1201700,Apopka,FL,28.7017,-81.53182,62777
5338038,Lakewood,WA,47.16409,-122.52811,62709
1916860,Council Bluffs,IA,41.23599,-95.85316,62665
0665084,San Clemente,CA,33.44914,-117.61312,62627
0669112,Santa Cruz,CA,36.97438,-122.03527,62581
3681677,White Plains,NY,41.0238,-73.75105,62561
2665440,Pontiac,MI,42.64923,-83.28736,62528
0444270,Marana,AZ,32.46594,-111.1354,62380
4934970,Herriman,UT,40.49173,-112.02034,62352
1249450,North Miami,FL,25.90083,-80.1686,62202
0908420,Bristol,CT,41.68158,-72.94075,62195
3476070,Vineland,NJ,39.46501,-74.99711,62070
4115800,Corvallis,OR,44.56995,-123.27828,61993
2569170,Taunton,MA,41.90332,-71.09499,61936
0505320,Bentonville,AR,36.35266,-94.23118,61791
2679000,Taylor,MI,42.22528,-83.26769,61544
2965126,St. Peters,MO,38.78157,-90.60417,61398
0639290,La Habra,CA,33.92793,-117.95155,61391
3709060,Burlington,NC,36.07613,-79.4683,61365
2906652,Blue Springs,MO,39.012,-94.26761,61246
4843012,Little Elm,TX,33.1925,-96.91997,61219
4169600,Springfield,OR,44.05378,-122.98111,61182
0622678,Encinitas,CA,33.05063,-117.26362,61137
2621020,Dearborn Heights,MI,42.33567,-83.28883,61040
1373784,Stonecrest,GA,33.68067,-84.14525,61015
0946450,Meriden,CT,41.53678,-72.79454,60849
0640004,La Mesa,CA,32.76949,-117.02192,60767
2556585,Revere,MA,42.42101,-70.99036,60702
2158620,Owensboro,KY,37.75715,-87.11673,60675
1243125,Margate,FL,26.24804,-80.21117,60650
0648816,Montebello,CA,34.01544,-118.11101,60617
0631960,Hanford,CA,36.32774,-119.65462,60594
4920810,Eagle Mountain,UT,40.31432,-112.01171,60575
3735200,Kannapolis,NC,35.4799,-80.6475,60521
0629504,Gilroy,CA,37.00641,-121.58532,60390
4769420,Smyrna,TN,35.96902,-86.52862,60302
2578972,Weymouth Town,MA,42.2073,-70.94369,60159
1840392,Kokomo,IN,40.46401,-86.12735,60093
3032800,Great Falls,MT,47.50252,-111.29997,60013
4824768,Euless,TX,32.84937,-97.07859,60010
1278275,Winter Haven,FL,28.04584,-81.73274,59975
0668364,San Rafael,CA,37.981,-122.50693,59961
2539835,Medford,MA,42.42384,-71.10923,59898
3832060,Grand Forks,ND,47.9196,-97.08733,59845
5585300,West Allis,WI,43.00719,-88.02899,59784
1213275,Coconut Creek,FL,26.28094,-80.18472,59721
3633139,Hempstead,NY,40.70437,-73.61944,59569
0604758,Beaumont,CA,33.87672,-116.95301,59502
2039350,Lenexa,KS,38.96527,-94.80394,59427
4770580,Spring Hill,TN,35.74662,-86.91683,59398
0656784,Petaluma,CA,38.24225,-122.62877,59393
1310944,Brookhaven,GA,33.8612,-84.3385,59370
0656924,Pico Rivera,CA,33.98952,-118.0893,59363
3432250,Hoboken,NJ,40.74525,-74.02793,59149
3988000,Youngstown,OH,41.09909,-80.6459,59123
0670224,Santee,CA,32.85499,-116.98606,59104
0439370,Lake Havasu City,AZ,34.49981,-114.31094,59037
1922395,Dubuque,IA,42.4989,-90.70726,58987
0628168,Gardena,CA,33.89442,-118.30752,58921
1719642,Des Plaines,IL,42.0344,-87.90114,58832
5613150,Casper,WY,42.84212,-106.32128,58823
0617610,Cupertino,CA,37.3194,-122.04496,58710
5336745,Lacey,WA,47.04309,-122.79823,58644
1875428,Terre Haute,IN,39.46415,-87.37604,58531
4048350,Midwest City,OK,35.45875,-97.37457,58505
0650398,National City,CA,32.66586,-117.09736,58460
4241216,Lancaster,PA,40.04206,-76.30099,58441
2408775,Bowie,MD,38.9547,-76.73883,58421
2670040,Royal Oak,MI,42.50782,-83.15389,58251
1664090,Pocatello,ID,42.87275,-112.46384,58231
1207950,Bradenton,FL,27.4898,-82.5768,58184
3209700,Carson City,NV,39.15306,-119.74737,58148
3974118,Springfield,OH,39.92891,-83.79424,58138
2670760,St. Clair Shores,MI,42.49304,-82.8909,58077
1756640,Orland Park,IL,41.60815,-87.85929,58020
0648914,Monterey Park,CA,34.04838,-118.13317,57996
0120104,Decatur,AL,34.57299,-86.9899,57974
3008950,Bozeman,MT,45.68315,-111.05378,57894
4872392,Texas City,TX,29.43372,-94.8927,57875
4975360,Taylorsville,UT,40.65694,-111.94933,57819
1264175,Sarasota,FL,27.33826,-82.54372,57764
2869280,Southaven,MS,34.95101,-89.97767,57493
3451210,New Brunswick,NJ,40.48668,-74.44441,57487
4967825,Saratoga Springs,UT,40.34461,-111.91589,57411
1616750,Coeur d'Alene,ID,47.7035,-116.79386,57355
4173650,Tigard,OR,45.42292,-122.78439,57301
1371492,Smyrna,GA,33.86256,-84.51612,57177
