model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
bayes(rho=0)+mix,5,all,6000,726.2673645019531,3273.7670166015646,0.2,-8.842986920446291,13.536898981929916,342960.828125,0.6103333333333333,,,1391523.875,0.8706666666666667,,,3381486.0,0.9698333333333333,,
bayes(rho=0)+mix,5,stayer,5137,612.6647338867188,3183.7848144531254,0.22328207124781,-8.659331386687946,13.531798131084562,341043.78125,0.6534942573486471,0.6403709139844471,0.6663881972085528,1390181.5,0.902861592369087,0.8944594247903989,0.9106616666666886,3379490.25,0.9809227175394198,0.976806599769177,0.9843200764544202
bayes(rho=0)+mix,5,mover,863,1366.26904296875,3616.883740234375,0.06141367323290846,-9.936194889063461,13.53943485067442,352984.03125,0.35341830822711473,0.3222381922692527,0.38589764246687447,1404548.875,0.6790266512166859,0.6471443400491791,0.7093221700952347,3404599.0,0.9038238702201622,0.8823254606360047,0.9217430104664435
bayes(rho=0)+mix,5,mover_0_500km,113,476.7565612792969,2645.1425292968734,0.19469026548672566,-8.77514666442722,13.459554038617998,314232.3125,0.6017699115044248,,,1313033.125,0.8495575221238938,,,3346272.75,0.9823008849557522,,
bayes(rho=0)+mix,5,mover_500_1500km,319,1072.5750732421875,2650.2827148437495,0.03761755485893417,-10.052080852489786,13.566240440059044,372307.96875,0.3072100313479624,,,1414588.125,0.6802507836990596,,,3428927.0,0.9184952978056427,,
bayes(rho=0)+mix,5,mover_1500km_plus,431,2134.3427734375,3865.66748046875,0.04408352668213457,-10.1548278984623,13.543791501799063,356115.375,0.3225058004640371,,,1414588.125,0.6334106728538283,,,3409630.0,0.8723897911832946,,
bayes(rho=0.177),5,all,6000,862.5206909179688,3560.1811767578124,0.1715,-9.011334816977081,13.706443192527464,403302.828125,0.6096666666666667,,,1555443.0,0.8763333333333333,,,3587256.5,0.9683333333333334,,
bayes(rho=0.177),5,stayer,5137,760.283447265625,3505.7964843750015,0.18941016157290247,-8.878883085578895,13.706046818707296,401511.90625,0.6418142884952307,0.6286010530220209,0.6548155766597806,1553735.0,0.8979949386801636,0.8894187326428475,0.9059763248512407,3584935.5,0.9764453961456103,0.971928374183747,0.9802503507938909
bayes(rho=0.177),5,mover,863,1324.9000244140625,3707.171875,0.06488991888760139,-9.799752597037893,13.715014171689528,411627.25,0.4183082271147161,0.3858299517719155,0.4515105727252937,1558302.875,0.7473928157589803,0.7173499939039946,0.7752428858101309,3608775.5,0.9200463499420626,0.9000335852180719,0.936336058324647
bayes(rho=0.177),5,mover_0_500km,113,634.638916015625,3152.668701171874,0.18584070796460178,-8.8525020906919,13.645301785567852,373004.375,0.6283185840707964,,,1486022.0,0.8938053097345132,,,3573157.75,0.9823008849557522,,
bayes(rho=0.177),5,mover_500_1500km,319,1087.2252197265625,2547.5383300781245,0.0438871473354232,-9.890276239079336,13.738211257275381,426610.34375,0.3730407523510972,,,1589432.75,0.7523510971786834,,,3616419.25,0.9435736677115988,,
bayes(rho=0.177),5,mover_1500km_plus,431,1979.53759765625,3884.04736328125,0.048723897911832945,-9.981103560856633,13.71508336926014,408233.71875,0.39675174013921116,,,1585816.625,0.7053364269141531,,,3607974.5,0.8863109048723898,,
net,12,all,6000,338.50543212890625,2366.8067871093754,0.3405,-8.261770570519529,12.629099802317313,147533.3203125,0.6035,,,734491.96875,0.8463333333333334,,,2486106.5,0.9638333333333333,,
