ordering,k,n,median_km,mean_km,p90_km,within_150km,state_acc,logscore,calib_err,cover50,cover80,cover95,d_vs_mi,d_lo,d_hi,win_rate,tie_rate,same_set
purity,6,8000,680.663818359375,1147.158447265625,3214.22509765625,0.21125,0.27025,-8.748242655618084,0.04712500000000001,0.58025,0.847375,0.96375,0.0,0.0,0.0,0.0,1.0,1
purity,7,8000,608.6903686523438,1010.9253540039062,2757.01416015625,0.229625,0.300875,-8.642149632500077,0.04999999999999997,0.591,0.851625,0.957375,0.0,0.0,0.0,0.0,1.0,1
purity,8,8000,562.119873046875,978.9181518554688,2719.937255859375,0.24975,0.326375,-8.55666961457086,0.050500000000000024,0.59225,0.852875,0.956375,0.0,0.0,0.0,0.0,1.0,1
purity,9,8000,522.0785522460938,945.247802734375,2668.418701171875,0.2635,0.34525,-8.46693145563024,0.05229166666666666,0.59775,0.85475,0.954375,0.0,0.0,0.0,0.0,1.0,1
purity,10,8000,489.07537841796875,908.3778076171875,2545.755126953125,0.275625,0.36325,-8.401700822576164,0.049166666666666616,0.596375,0.851,0.949875,4.164703369140625,-8.138268280029296,19.027040863037104,0.152375,0.688125,0
purity,11,8000,437.60986328125,860.2968139648438,2435.780517578125,0.291875,0.3855,-8.340634493788544,0.047749999999999994,0.59325,0.846875,0.946875,-10.2578125,-27.05356216430664,6.698129272460936,0.23425,0.54025,0
purity,12,8000,417.7524108886719,849.29638671875,2426.529052734375,0.303125,0.393875,-8.28206002795759,0.046999999999999965,0.5915,0.84275,0.94325,-0.531585693359375,-17.196804809570313,18.720511627197265,0.222375,0.552625,0
purity,13,8000,384.4347839355469,823.2902221679688,2388.913330078125,0.316125,0.411125,-8.217387237831957,0.04841666666666663,0.593125,0.842375,0.94025,4.298004150390625,-5.7923835754394535,16.404185485839825,0.154,0.68725,0
purity,14,8000,365.347412109375,806.3704833984375,2383.0107421875,0.32625,0.42075,-8.170684717251119,0.048166666666666656,0.58925,0.839,0.93375,14.48828125,3.5381072998046874,26.702449035644527,0.203,0.580375,0
purity,15,8000,342.97900390625,787.0186157226562,2347.02294921875,0.33725,0.429625,-8.123121263148107,0.04804166666666665,0.58825,0.836625,0.93075,16.091705322265625,4.089395904541016,25.385821533203107,0.137875,0.710875,0
purity,16,8000,328.7533874511719,773.3858642578125,2303.142578125,0.348625,0.438125,-8.084503300174118,0.0492083333333333,0.5875,0.83775,0.927625,8.459808349609375,-0.6771171569824218,19.863257598876952,0.147125,0.707625,0
purity,17,8000,303.66259765625,750.427734375,2257.623291015625,0.361875,0.453125,-8.049626776620082,0.04708333333333329,0.584625,0.833,0.926375,-5.055267333984375,-14.9029296875,7.594611358642569,0.210625,0.59,0
purity,18,8000,293.67340087890625,746.1165161132812,2275.937255859375,0.371375,0.461,-8.008434787282258,0.048666666666666636,0.587125,0.833625,0.92475,-4.052825927734375,-17.336849975585938,6.5380981445312445,0.206875,0.597625,0
purity,19,8000,270.9046630859375,723.3224487304688,2198.07861328125,0.38325,0.472125,-7.978963650634174,0.047624999999999994,0.585375,0.830875,0.923375,-2.690826416015625,-14.348738098144532,7.337359619140618,0.207625,0.597625,0
purity,20,8000,255.1411590576172,705.6354370117188,2161.46337890625,0.394625,0.48475,-7.949331934075169,0.04862499999999995,0.584125,0.828375,0.916625,-6.8077545166015625,-16.196670532226562,1.4571197509765619,0.20725,0.602875,0
purity,21,8000,241.82098388671875,692.661376953125,2122.2705078125,0.405375,0.491625,-7.922334628211189,0.04858333333333331,0.58525,0.8265,0.916,-13.472412109375,-22.945243072509765,-4.413981246948248,0.211,0.602,0
purity,22,8000,238.59323120117188,689.97412109375,2109.16748046875,0.4095,0.494375,-7.882087246567713,0.050624999999999955,0.58825,0.828,0.914375,-6.246673583984375,-15.877397918701172,1.7390022277832025,0.19375,0.626,0
purity,23,8000,219.87451171875,667.067138671875,2011.420654296875,0.42375,0.50375,-7.851350786130299,0.04837499999999998,0.580875,0.82375,0.9095,-6.4664154052734375,-13.39798583984375,1.702938842773437,0.133625,0.741375,0
purity,24,8000,209.07823181152344,655.912353515625,1960.6805419921875,0.431625,0.51225,-7.831550972013616,0.04849999999999999,0.5795,0.823625,0.907625,0.55340576171875,-5.213262557983398,7.321247863769529,0.1345,0.740375,0
purity,25,8000,201.5381622314453,649.9008178710938,1995.3958740234375,0.44,0.51625,-7.806370741131566,0.049624999999999996,0.58125,0.823125,0.9055,-2.1806488037109375,-8.21851463317871,3.017106246948239,0.1275,0.7555,0
purity,26,8000,199.92381286621094,648.0382080078125,1985.325927734375,0.44025,0.51875,-7.7924353738346746,0.04854166666666667,0.578875,0.820875,0.904125,2.4492645263671875,-1.4314891815185546,9.076246643066405,0.112375,0.773375,0
purity,27,8000,193.45639038085938,643.0106201171875,1986.8377685546875,0.4455,0.52175,-7.7704418297107525,0.048958333333333326,0.581125,0.818875,0.903125,0.0,0.0,0.0,0.0,1.0,1
purity,28,8000,182.67979431152344,631.7322387695312,1960.5631103515625,0.456625,0.531125,-7.7541953492394295,0.04854166666666667,0.577625,0.81725,0.89925,-6.14215087890625,-10.913444900512696,-0.1349857330322292,0.119,0.769,0
purity,29,8000,177.97323608398438,627.0296020507812,1934.7491455078125,0.460125,0.534625,-7.736786783255048,0.04749999999999995,0.576,0.81425,0.89775,-4.7065582275390625,-8.910974502563477,1.7331146240234363,0.117,0.773625,0
purity,30,8000,171.45802307128906,612.312255859375,1910.6279296875,0.46775,0.544125,-7.734896453778876,0.047749999999999994,0.57625,0.812625,0.895625,-3.9684906005859375,-8.998109436035156,1.3736347198486254,0.1635,0.682375,0
net,1,8000,1109.880126953125,1415.748779296875,3806.438720703125,0.108,0.10425,-9.434905304301864,0.01824999999999999,0.527125,0.820875,0.95675,0.0,0.0,0.0,0.0,1.0,1
net,2,8000,982.6187744140625,1407.434814453125,3768.673095703125,0.124375,0.115875,-9.264284837334095,0.02979166666666666,0.545,0.832375,0.962,0.0,0.0,0.0,0.0,1.0,1
net,3,8000,908.2577514648438,1315.7659912109375,3515.8935546875,0.166375,0.1765,-9.11039014777799,0.036125,0.557875,0.837625,0.962875,0.0,0.0,0.0,0.0,1.0,1
net,4,8000,774.1275024414062,1239.8447265625,3410.6015625,0.182625,0.21675,-8.97389996349326,0.03829166666666665,0.564875,0.838625,0.961375,-62.41668701171875,-90.15904693603515,-30.42798004150392,0.220125,0.54175,0
net,5,8000,711.18408203125,1190.8349609375,3309.920166015625,0.19225,0.24825,-8.867097681729145,0.042666666666666665,0.57425,0.843375,0.960375,3.41375732421875,-20.76592254638672,24.796986389160153,0.22875,0.504875,0
net,6,8000,680.663818359375,1147.158447265625,3214.22509765625,0.21125,0.27025,-8.748242654497625,0.04712500000000001,0.58025,0.847375,0.96375,0.0,0.0,0.0,0.0,1.0,1
net,7,8000,608.6903686523438,1010.9253540039062,2757.01416015625,0.229625,0.300875,-8.642149634071163,0.04999999999999997,0.591,0.851625,0.957375,0.0,0.0,0.0,0.0,1.0,1
net,8,8000,562.119873046875,978.9181518554688,2719.937255859375,0.24975,0.326375,-8.556669616084784,0.050500000000000024,0.59225,0.852875,0.956375,0.0,0.0,0.0,0.0,1.0,1
net,9,8000,522.0785522460938,945.247802734375,2668.418701171875,0.2635,0.34525,-8.466931458410741,0.05229166666666666,0.59775,0.85475,0.954375,0.0,0.0,0.0,0.0,1.0,1
net,10,8000,489.07537841796875,908.3778076171875,2545.755126953125,0.275625,0.36325,-8.401700824559583,0.049166666666666616,0.596375,0.851,0.949875,4.164703369140625,-8.138268280029296,19.027040863037104,0.152375,0.688125,0
net,11,8000,437.60986328125,860.2968139648438,2435.780517578125,0.291875,0.3855,-8.340634497525908,0.047749999999999994,0.59325,0.846875,0.946875,-10.2578125,-27.05356216430664,6.698129272460936,0.23425,0.54025,0
net,12,8000,426.88348388671875,850.8412475585938,2412.20703125,0.30175,0.39225,-8.301673251993359,0.04762499999999995,0.592375,0.844,0.9435,8.5994873046875,-8.355244445800782,28.65074920654296,0.256875,0.486125,0
net,13,8000,404.13592529296875,831.3221435546875,2364.902587890625,0.315,0.401125,-8.252269815856119,0.04829166666666662,0.592625,0.844125,0.941875,23.9991455078125,7.117220306396485,40.435414123535125,0.23575,0.508375,0
net,14,8000,396.7006530761719,832.8748168945312,2387.220947265625,0.318875,0.406125,-8.220186566176169,0.046999999999999965,0.591,0.841875,0.941875,45.841522216796875,28.47261962890625,62.186549377441374,0.246625,0.459125,0
net,15,8000,381.9855651855469,818.93115234375,2368.37890625,0.3255,0.410875,-8.18619252350882,0.04741666666666663,0.591625,0.841375,0.94075,55.0982666015625,37.09170074462891,70.38596115112304,0.2605,0.424375,0
net,16,8000,351.8048095703125,788.2258911132812,2286.865478515625,0.339125,0.42675,-8.14290302028442,0.04604166666666665,0.589875,0.836125,0.937875,31.51123046875,14.322615814208984,45.498707580566396,0.293375,0.38775,0
net,17,8000,336.93206787109375,778.8965454101562,2262.848388671875,0.346375,0.433125,-8.109285779668623,0.045999999999999965,0.586875,0.836375,0.93525,28.214202880859375,11.919087982177734,44.42719802856445,0.3065,0.353625,0
net,18,8000,319.29266357421875,759.0567016601562,2199.55859375,0.358375,0.445375,-8.061901686039644,0.04641666666666663,0.584375,0.835125,0.93025,21.566436767578125,7.026658630371093,36.71924133300777,0.287625,0.396875,0
