model,k,quantity,ratio_mover_over_stayer,lo95,hi95,n_mover,n_stayer,auc,auc_lo95,auc_hi95
net,20,entropy,0.9954319415714309,0.9868284702784679,1.0056213732467492,863,5137,0.4933598091324364,0.47240898386038355,0.5136897669289043
net+mix,20,width80,0.9545451998982634,0.9059373302614713,1.016053549149255,863,5137,0.49353079052275867,0.47271503557479133,0.5137981383340213
net+mix,20,error,10.03116829623179,9.299716892941214,10.91883762623558,863,5137,,,
net+mix,20,entropy,0.9973244181978352,0.9897408366575927,1.0047449245558335,863,5137,0.4936088374370747,0.47259781011754903,0.5141794964229236
bayes(rho=0),20,width80,0.9803658718765799,0.8905477569818515,1.059277033134882,863,5137,0.4940676450200768,0.47267469180196187,0.5145476217870921
bayes(rho=0),20,error,8.006588432762365,7.330335268645627,8.59983379413934,863,5137,,,
bayes(rho=0),20,entropy,0.9975311457847121,0.9868523944940492,1.0083782015099978,863,5137,0.49550835496729134,0.47425711643524004,0.5161282674520159
bayes(rho=0)@cluster,20,width80,0.9822979654734996,0.9002061776311326,1.0591719110176285,863,5137,0.4940836604273497,0.4726222600474358,0.5147773185684474
bayes(rho=0)@cluster,20,error,8.177805003010178,7.515876368192886,8.77439044961406,863,5137,,,
bayes(rho=0)@cluster,20,entropy,0.9980931771155084,0.9873941911787706,1.0075540677984305,863,5137,0.4951262408839061,0.47407846595510994,0.5155227666871728
bayes(rho=0)+mix,20,width80,0.978112400440427,0.9318392329556933,1.0486700177863137,863,5137,0.4944989331708634,0.47323524619015345,0.5149390149716643
bayes(rho=0)+mix,20,error,7.8551653848631044,7.216518688842678,8.447517761659117,863,5137,,,
bayes(rho=0)+mix,20,entropy,0.9979455312804814,0.9896841341011171,1.0072633168998972,863,5137,0.49614445987587835,0.47509845299625325,0.5164771934075537
bayes(rho=0.177),20,width80,1.004694512282919,0.9885085604551145,1.0170565342601967,863,5137,0.4998934185924442,0.4795493384790566,0.5203964693074611
bayes(rho=0.177),20,error,1.8567096678565251,1.665495636363971,2.0641961607007726,863,5137,,,
bayes(rho=0.177),20,entropy,1.0003047157881648,0.9984400102663409,1.0018571977016364,863,5137,0.5000120679477338,0.47997648955996247,0.5205278664507843
net,30,width80,0.9931983737836154,0.8859214219864557,1.0769793455315877,863,5137,0.49941092625220745,0.47913806680663434,0.5193888714364144
net,30,error,12.790093765925008,12.002547153978616,13.886175758690804,863,5137,,,
net,30,entropy,0.9985716736662614,0.9911876940474901,1.006787020848027,863,5137,0.49956837349553856,0.47917592725257513,0.5200080404021699
net+mix,30,width80,0.9951496526917322,0.9356890054218335,1.0621386586097172,863,5137,0.4988887337474632,0.47854257736749695,0.5186778465102605
net+mix,30,error,12.779196679992078,11.951228231090912,13.774985715899838,863,5137,,,
net+mix,30,entropy,0.999489809833816,0.9926424353577497,1.0051698773080346,863,5137,0.4997005569978194,0.4791225065913009,0.5201973346178107
bayes(rho=0),30,width80,1.0449393565953253,0.9188367728221357,1.196687166688778,863,5137,0.4995877724395593,0.47893774852417964,0.5207240516479442
bayes(rho=0),30,error,11.708804757029295,10.84848166287741,12.656008091495497,863,5137,,,
bayes(rho=0),30,entropy,1.0091932938399575,0.9871890010303137,1.024324525147163,863,5137,0.5004789960189306,0.479856665316643,0.521448051672068
bayes(rho=0)@cluster,30,width80,1.036033881739763,0.9181613511970316,1.1757452729241655,863,5137,0.49955326036473174,0.47903010148007685,0.5203725067873554
bayes(rho=0)@cluster,30,error,11.780611326892673,11.031864338936016,12.757579729549235,863,5137,,,
bayes(rho=0)@cluster,30,entropy,1.0080738388824588,0.9876750028497335,1.022693416990299,863,5137,0.5004623039043081,0.4801044120761315,0.5213951755071263
bayes(rho=0)+mix,30,width80,1.0399031073126463,0.9409765687176143,1.1286427355237447,863,5137,0.4980471353737263,0.4775468256363003,0.5188968057001854
bayes(rho=0)+mix,30,error,11.637609941629695,10.82286303014431,12.545050022784654,863,5137,,,
bayes(rho=0)+mix,30,entropy,1.0051674443313698,0.9897649226387817,1.0170951318866184,863,5137,0.5008162218481284,0.48004996585538406,0.5215924845747217
bayes(rho=0.177),30,width80,1.0038067449188257,0.9890189653787063,1.0173018797888942,863,5137,0.49846737063780344,0.47745284426384244,0.5185464067890512
bayes(rho=0.177),30,error,1.7211482374410687,1.5424090042646321,1.8718935751611665,863,5137,,,
bayes(rho=0.177),30,entropy,1.000457015458741,0.9990066909753856,1.0021960448501943,863,5137,0.4992196436413983,0.47864549638047676,0.5197536105038554
