true_rho,realised_rho,theta,movers,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.1,0.09597280618965585,0.287109375,0,0.0,5,642.8299386158708,3337.1941799174842,0.2125,0.25416666666666665,0.39916666666666667,-8.64339603928567,0.0805555555555556,0.6175,0.8916666666666667,0.9825
0.1,0.09597280618965585,0.287109375,0,0.0,8,445.90855835147283,2282.3795476663977,0.275,0.37583333333333335,0.5158333333333334,-8.2342121837305,0.09833333333333331,0.6425,0.9125,0.99
0.1,0.09597280618965585,0.287109375,0,0.0,12,303.5116805969782,2035.5793948477994,0.3441666666666667,0.4475,0.6066666666666667,-7.82157475001614,0.11138888888888891,0.6633333333333333,0.93,0.9908333333333333
0.1,0.09597280618965585,0.287109375,0,0.0,16,230.2197942043686,1643.267099451935,0.4058333333333333,0.5191666666666667,0.6716666666666666,-7.460699684942095,0.11722222222222223,0.68,0.9283333333333333,0.9933333333333333
0.1,0.09597280618965585,0.287109375,0,0.0,20,195.44078805931093,1523.6356149148505,0.44916666666666666,0.5475,0.7091666666666666,-7.222349793320748,0.11833333333333336,0.6841666666666667,0.9291666666666667,0.9916666666666667
0.1,0.09597280618965585,0.287109375,0,0.05,5,724.8384831211889,3446.088573143695,0.19666666666666666,0.22666666666666666,0.37,-8.744937577079083,0.08416666666666668,0.6258333333333334,0.895,0.9816666666666667
0.1,0.09597280618965585,0.287109375,0,0.05,8,510.3406984396389,2537.9746250711987,0.25333333333333335,0.3358333333333333,0.4666666666666667,-8.45416852484018,0.10638888888888891,0.6633333333333333,0.915,0.9908333333333333
0.1,0.09597280618965585,0.287109375,0,0.05,12,385.04034206117586,2264.2616195386076,0.2941666666666667,0.39166666666666666,0.545,-8.197161909441492,0.12722222222222224,0.7041666666666667,0.9366666666666666,0.9908333333333333
0.1,0.09597280618965585,0.287109375,0,0.05,16,329.1711427315839,1957.159348334867,0.33166666666666667,0.42833333333333334,0.5883333333333334,-7.988419142037362,0.14027777777777775,0.7291666666666666,0.9483333333333334,0.9933333333333333
0.1,0.09597280618965585,0.287109375,0,0.05,20,300.145931724641,1836.6231515741274,0.365,0.4633333333333333,0.6266666666666667,-7.882676026081756,0.15,0.7525,0.9533333333333334,0.9941666666666666
0.1,0.09597280618965585,0.287109375,0,0.09,5,750.6768226279678,3461.984987058805,0.185,0.215,0.35083333333333333,-8.816360960810531,0.08361111111111112,0.625,0.8941666666666667,0.9816666666666667
0.1,0.09597280618965585,0.287109375,0,0.09,8,571.6222012377468,2687.026020431616,0.2325,0.31,0.43583333333333335,-8.596744186538094,0.10388888888888888,0.6616666666666666,0.91,0.99
0.1,0.09597280618965585,0.287109375,0,0.09,12,478.29631023348026,2449.3875087327815,0.25666666666666665,0.34,0.485,-8.421846033855648,0.12388888888888887,0.7,0.9316666666666666,0.99
0.1,0.09597280618965585,0.287109375,0,0.09,16,422.785090318111,2321.9062114485673,0.28,0.37166666666666665,0.5166666666666667,-8.285241129984797,0.1363888888888889,0.7275,0.9416666666666667,0.99
0.1,0.09597280618965585,0.287109375,0,0.09,20,398.3590120527457,2273.615945711855,0.29333333333333333,0.37916666666666665,0.5308333333333334,-8.232070367003276,0.14222222222222225,0.7358333333333333,0.9483333333333334,0.9925
0.1,0.09597280618965585,0.287109375,0,0.13,5,826.8942726621949,3500.8723767528736,0.1775,0.20583333333333334,0.3333333333333333,-8.879426374607089,0.08333333333333333,0.6241666666666666,0.8958333333333334,0.98
0.1,0.09597280618965585,0.287109375,0,0.13,8,639.3589885503047,2815.0984069539177,0.21583333333333332,0.2841666666666667,0.4008333333333333,-8.713418893256415,0.09861111111111114,0.6533333333333333,0.9058333333333334,0.9866666666666667
0.1,0.09597280618965585,0.287109375,0,0.13,12,559.0151889114491,2738.6917183897363,0.2225,0.3016666666666667,0.44083333333333335,-8.593387216609779,0.11833333333333336,0.6941666666666667,0.9233333333333333,0.9875
0.1,0.09597280618965585,0.287109375,0,0.13,16,540.7813501814226,2762.4260912528935,0.23333333333333334,0.30833333333333335,0.4425,-8.500895810385993,0.1272222222222222,0.7108333333333333,0.9325,0.9883333333333333
0.1,0.09597280618965585,0.287109375,0,0.13,20,546.6587276198609,2768.8336215540176,0.23833333333333334,0.31,0.44333333333333336,-8.471092560810288,0.12944444444444445,0.7141666666666666,0.9341666666666667,0.99
0.1,0.09597280618965585,0.287109375,0,0.177,5,874.3377633651319,3542.5909449201095,0.17,0.19083333333333333,0.315,-8.94406556652807,0.08027777777777778,0.62,0.8925,0.9783333333333334
0.1,0.09597280618965585,0.287109375,0,0.177,8,766.2330353172895,3332.3598387765905,0.19916666666666666,0.25166666666666665,0.3575,-8.82440222029615,0.09166666666666667,0.6416666666666667,0.9025,0.9808333333333333
0.1,0.09597280618965585,0.287109375,0,0.177,12,670.7277523139362,2986.4415581580847,0.19333333333333333,0.2575,0.38416666666666666,-8.74670431294192,0.10555555555555556,0.6708333333333333,0.9133333333333333,0.9825
0.1,0.09597280618965585,0.287109375,0,0.177,16,739.8221433254112,3384.2146549199297,0.18333333333333332,0.23916666666666667,0.3616666666666667,-8.685547739608516,0.11444444444444442,0.6858333333333333,0.9225,0.985
0.1,0.09597280618965585,0.287109375,0,0.177,20,816.358711840599,3502.227367903722,0.1875,0.23166666666666666,0.3491666666666667,-8.669520496914735,0.11694444444444445,0.6916666666666667,0.9225,0.9866666666666667
0.18,0.16994794202567357,0.380859375,0,0.0,5,630.43701801012,3205.171238956411,0.21583333333333332,0.2575,0.41083333333333333,-8.654089953479327,0.07777777777777777,0.6183333333333333,0.8833333333333333,0.9816666666666667
0.18,0.16994794202567357,0.380859375,0,0.0,8,447.0771569708214,2283.212914855043,0.2775,0.37083333333333335,0.5175,-8.248112978596899,0.09694444444444443,0.6425,0.9125,0.9858333333333333
0.18,0.16994794202567357,0.380859375,0,0.0,12,325.87787921519987,2160.3882494903637,0.3408333333333333,0.43583333333333335,0.6016666666666667,-7.843434865083745,0.10777777777777779,0.6575,0.925,0.9908333333333333
0.18,0.16994794202567357,0.380859375,0,0.0,16,228.03445732952594,1643.267099451935,0.4033333333333333,0.5,0.6691666666666667,-7.479182262113725,0.11000000000000003,0.67,0.92,0.99
0.18,0.16994794202567357,0.380859375,0,0.0,20,182.76660969961733,1491.6497999671928,0.46,0.5533333333333333,0.7175,-7.248120901216219,0.11055555555555559,0.67,0.9241666666666667,0.9875
0.18,0.16994794202567357,0.380859375,0,0.05,5,701.9602649601733,3426.067713134423,0.2,0.2325,0.38083333333333336,-8.752954761095753,0.08138888888888889,0.6233333333333333,0.89,0.9808333333333333
0.18,0.16994794202567357,0.380859375,0,0.05,8,503.7761811518916,2564.2416877901583,0.25416666666666665,0.3358333333333333,0.46416666666666667,-8.461890344774151,0.1075,0.6716666666666666,0.915,0.9858333333333333
0.18,0.16994794202567357,0.380859375,0,0.05,12,396.7834564764394,2307.8486751664705,0.295,0.38333333333333336,0.5425,-8.205591670742294,0.1252777777777778,0.7,0.935,0.9908333333333333
0.18,0.16994794202567357,0.380859375,0,0.05,16,332.37863668859234,1803.378919556359,0.3283333333333333,0.415,0.5866666666666667,-7.988033567015388,0.13972222222222228,0.7275,0.9491666666666667,0.9925
0.18,0.16994794202567357,0.380859375,0,0.05,20,302.7717507863186,1806.9465022020622,0.35583333333333333,0.4483333333333333,0.6208333333333333,-7.881547249571762,0.14916666666666667,0.7483333333333333,0.9541666666666667,0.995
0.18,0.16994794202567357,0.380859375,0,0.09,5,749.0540547662208,3427.812114755811,0.18833333333333332,0.22,0.3616666666666667,-8.823013568806516,0.08027777777777778,0.62,0.89,0.9808333333333333
0.18,0.16994794202567357,0.380859375,0,0.09,8,577.5039605452982,2711.3180108756396,0.22916666666666666,0.305,0.43166666666666664,-8.601936330198784,0.10416666666666667,0.6675,0.91,0.985
