model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
net+mix,14,mover,896,1467.559326171875,3326.54931640625,0.027901785714285716,-10.470999306101474,12.89357447325799,176944.65625,0.13392857142857142,0.1131836957535389,0.1577991083310911,933081.875,0.5145089285714286,0.48179114401845224,0.5471028302099009,2850986.125,0.8805803571428571,0.8577051143722567,0.9002060557714662
net+mix,14,mover_0_500km,112,365.365478515625,1511.4237915039064,0.19642857142857142,-8.885960661959482,12.817054530445697,168895.984375,0.44642857142857145,,,834265.84375,0.8125,,,2704365.75,0.9732142857142857,,
net+mix,14,mover_500_1500km,334,1004.2706909179688,1598.2421752929686,0.008982035928143712,-10.704528069706521,12.897325865394587,181820.28125,0.10778443113772455,,,931787.78125,0.437125748502994,,,2797089.875,0.8862275449101796,,
net+mix,14,mover_1500km_plus,450,2349.4044189453125,3806.245458984375,0.0,-10.692167575212176,12.912068213335274,178745.109375,0.07555555555555556,,,949680.6875,0.49777777777777776,,,2915960.875,0.8533333333333334,,
bayes(rho=0),14,all,6000,358.2404327392578,2279.1654541015637,0.32083333333333336,-8.179553571510189,12.543057141154325,156092.515625,0.5896666666666667,,,709132.5625,0.8425,,,2082063.4375,0.9348333333333333,,
bayes(rho=0),14,stayer,5104,267.45013427734375,1745.9884033203125,0.37186520376175547,-7.639951815212703,12.551419739867725,157814.8046875,0.6726097178683386,0.6596100355432366,0.6853497611740305,714757.375,0.9308385579937304,0.9235486296441264,0.9374804202778602,2088334.5,0.9894200626959248,0.9862220482430908,0.9918818929597844
bayes(rho=0),14,mover,896,1435.5313110351562,3371.349365234375,0.030133928571428572,-11.253356433276227,12.488071495342801,149980.53125,0.1171875,0.09774245513430013,0.1399011479176148,684341.5,0.3392857142857143,0.30902833314022315,0.370915336945712,2027120.5625,0.6238839285714286,0.5916997385126529,0.6550103491294389
bayes(rho=0),14,mover_0_500km,112,352.82435607910156,1281.6906372070312,0.21428571428571427,-9.129097930010188,12.251846695862055,119821.03515625,0.33035714285714285,,,575787.4375,0.6607142857142857,,,1909419.4375,0.8839285714285714,,
bayes(rho=0),14,mover_500_1500km,334,997.7637939453125,1639.891015625,0.0029940119760479044,-11.368217892224136,12.56028201068354,155880.1640625,0.09281437125748503,,,704053.21875,0.344311377245509,,,2040601.625,0.5898203592814372,,
bayes(rho=0),14,mover_1500km_plus,450,2289.6734619140625,3789.941088867188,0.0044444444444444444,-11.696808044558889,12.487702744999268,147618.5234375,0.08222222222222222,,,682990.6875,0.25555555555555554,,,2068796.9375,0.5844444444444444,,
bayes(rho=0)@cluster,14,all,6000,354.0319061279297,2264.048583984376,0.3275,-8.231364686064428,12.577655549500196,160758.15625,0.5818333333333333,,,725434.125,0.8411666666666666,,,2123858.0,0.9341666666666667,,
bayes(rho=0)@cluster,14,stayer,5104,260.4793243408203,1730.6400390625,0.3793103448275862,-7.706742925376312,12.590750367510875,161992.2265625,0.6622257053291536,0.6491327126222163,0.6750746786171674,731441.65625,0.9280956112852664,0.9206817925909369,0.9348654898463257,2130676.125,0.987460815047022,0.9840206223553805,0.9901677706441205
bayes(rho=0)@cluster,14,mover,896,1455.498046875,3289.3720703125,0.03236607142857143,-11.219835072841366,12.524850275281654,154219.015625,0.12388392857142858,0.10390393478323795,0.14707534868176303,698855.71875,0.34598214285714285,0.3155517423092226,0.3777276081897985,2076146.0625,0.6305803571428571,0.5984822008784829,0.6615635671766946
bayes(rho=0)@cluster,14,mover_0_500km,112,357.5080261230469,1274.4861816406253,0.22321428571428573,-9.089614551333481,12.28143848547538,123800.52734375,0.3482142857142857,,,593018.71875,0.6607142857142857,,,1940596.3125,0.8928571428571429,,
bayes(rho=0)@cluster,14,mover_500_1500km,334,1006.6070861816406,1614.1092041015625,0.005988023952095809,-11.330322878210804,12.583635869919458,158957.734375,0.10179640718562874,,,725285.375,0.3502994011976048,,,2084139.3125,0.5988023952095808,,
bayes(rho=0)@cluster,14,mover_1500km_plus,450,2297.3233642578125,3788.3775390625,0.0044444444444444444,-11.668016787098018,12.525409262898355,151040.7734375,0.08444444444444445,,,694735.65625,0.2644444444444444,,,2111159.375,0.5888888888888889,,
bayes(rho=0)+mix,14,all,6000,367.8607635498047,2283.3388671875023,0.31666666666666665,-8.159162083145958,12.945953282432011,206424.0546875,0.6376666666666667,,,961750.125,0.8833333333333333,,,2765307.5,0.9678333333333333,,
bayes(rho=0)+mix,14,stayer,5104,276.87510681152344,1766.000610351562,0.36696708463949845,-7.761738028501262,12.948119705915303,207817.5703125,0.7192398119122257,0.7067500943766354,0.7313997495809377,965911.28125,0.9508228840125392,0.9445439443315424,0.956423697264861,2769547.75,0.9913793103448276,0.9884476570109391,0.9935718323953104
bayes(rho=0)+mix,14,mover,896,1438.8661499023438,3371.349365234375,0.030133928571428572,-10.423059822996988,12.914296751196051,196900.4609375,0.17299107142857142,0.1496339108494124,0.1991403623115528,944711.78125,0.49888392857142855,0.466219232626077,0.5315581539717418,2735099.125,0.8337053571428571,0.8079103510897764,0.8566510561623443
bayes(rho=0)+mix,14,mover_0_500km,112,352.82435607910156,1439.4459350585948,0.21428571428571427,-9.02951226266346,12.707435402025126,165493.203125,0.4107142857142857,,,843932.0625,0.75,,,2671240.5,0.9464285714285714,,
bayes(rho=0)+mix,14,mover_500_1500km,334,997.7637939453125,1639.891015625,0.0029940119760479044,-10.58774479462191,12.970678985379706,205548.1640625,0.15269461077844312,,,966863.625,0.45808383233532934,,,2725786.375,0.8263473053892215,,
bayes(rho=0)+mix,14,mover_1500km_plus,450,2289.6734619140625,3789.941088867188,0.0044444444444444444,-10.647665481296164,12.909184403469148,194509.5546875,0.1288888888888889,,,946073.28125,0.4666666666666667,,,2762617.125,0.8111111111111111,,
net,30,all,6000,153.54070281982422,1802.788610839844,0.49366666666666664,-7.707584515077004,11.715531306807359,70552.8046875,0.6455,,,332778.328125,0.843,,,1859198.625,0.9553333333333334,,
net,30,stayer,5104,117.80273818969727,1041.6003784179686,0.5754310344827587,-7.102370717962519,11.715531306807359,70386.8359375,0.7494122257053292,0.7373387511710894,0.7611105351184464,334574.015625,0.957680250783699,0.951804291865733,0.96286776844248,1861631.6875,0.9945141065830722,0.992082662755216,0.9962017037764321
net,30,mover,896,1523.9635009765625,3400.36767578125,0.027901785714285716,-11.155141680782723,11.717037264295591,72035.69921875,0.05357142857142857,0.04064198393632811,0.07031265519126945,322511.65625,0.18973214285714285,0.16540377451368993,0.21670969967999038,1848039.8125,0.7321428571428571,0.7021998872845873,0.7601037003690619
