rake,sigma,gamma,alpha,logloss,r_pop,r_soda,r_coke,modal
1,4.0,2.0,0.0,0.77311,0.8240,0.7584,0.8338,0.9080
1,4.0,2.0,0.02,0.75064,0.8280,0.7528,0.8328,0.9063
1,4.0,2.0,0.05,0.75063,0.8212,0.7410,0.8268,0.9024
1,4.0,2.0,0.15,0.75696,0.8020,0.7193,0.8064,0.8839
1,4.0,2.5,0.0,0.80202,0.7959,0.7390,0.8110,0.8950
1,4.0,2.5,0.02,0.77112,0.7925,0.6955,0.7960,0.8802
1,4.0,2.5,0.05,0.77337,0.7777,0.6715,0.7760,0.8724
1,4.0,2.5,0.15,0.78500,0.7467,0.6369,0.7301,0.8407
1,4.0,3.0,0.0,0.83874,0.7691,0.7183,0.7865,0.8703
1,4.0,3.0,0.02,0.80103,0.7465,0.6175,0.7365,0.8365
1,4.0,3.0,0.05,0.80746,0.7231,0.5850,0.6956,0.8246
1,4.0,3.0,0.15,0.82747,0.6814,0.5443,0.6250,0.7911
1,6.0,1.0,0.0,0.73845,0.8818,0.8031,0.8848,0.9183
1,6.0,1.0,0.02,0.73613,0.8823,0.8059,0.8856,0.9182
1,6.0,1.0,0.05,0.73691,0.8815,0.8072,0.8855,0.9179
1,6.0,1.0,0.15,0.74248,0.8765,0.8061,0.8829,0.9175
1,6.0,1.5,0.0,0.73367,0.8737,0.8049,0.8729,0.9300
1,6.0,1.5,0.02,0.72788,0.8725,0.8086,0.8745,0.9295
1,6.0,1.5,0.05,0.72878,0.8683,0.8054,0.8732,0.9286
1,6.0,1.5,0.15,0.73510,0.8556,0.7942,0.8662,0.9257
1,6.0,2.0,0.0,0.74379,0.8530,0.7945,0.8565,0.9202
1,6.0,2.0,0.02,0.73399,0.8490,0.7838,0.8568,0.9173
1,6.0,2.0,0.05,0.73607,0.8395,0.7688,0.8508,0.9134
1,6.0,2.0,0.15,0.74535,0.8180,0.7432,0.8303,0.8951
1,6.0,2.5,0.0,0.76470,0.8266,0.7790,0.8383,0.9069
1,6.0,2.5,0.02,0.75123,0.8144,0.7282,0.8274,0.8944
1,6.0,2.5,0.05,0.75589,0.7982,0.7017,0.8076,0.8802
1,6.0,2.5,0.15,0.77102,0.7676,0.6656,0.7630,0.8605
1,6.0,3.0,0.0,0.79312,0.7998,0.7614,0.8189,0.8922
1,6.0,3.0,0.02,0.77791,0.7714,0.6535,0.7757,0.8629
1,6.0,3.0,0.05,0.78707,0.7488,0.6207,0.7367,0.8481
1,6.0,3.0,0.15,0.81150,0.7084,0.5789,0.6681,0.7880
1,8.0,1.0,0.0,0.73577,0.8833,0.8082,0.8902,0.9202
1,8.0,1.0,0.02,0.73520,0.8836,0.8093,0.8904,0.9202
1,8.0,1.0,0.05,0.73653,0.8830,0.8096,0.8900,0.9193
1,8.0,1.0,0.15,0.74308,0.8779,0.8073,0.8871,0.9173
1,8.0,1.5,0.0,0.72584,0.8813,0.8175,0.8821,0.9324
1,8.0,1.5,0.02,0.72341,0.8797,0.8187,0.8828,0.9325
1,8.0,1.5,0.05,0.72512,0.8749,0.8146,0.8814,0.9315
1,8.0,1.5,0.15,0.73279,0.8608,0.8019,0.8737,0.9273
1,8.0,2.0,0.0,0.72956,0.8664,0.8125,0.8683,0.9320
1,8.0,2.0,0.02,0.72536,0.8599,0.8006,0.8688,0.9299
1,8.0,2.0,0.05,0.72857,0.8490,0.7846,0.8628,0.9264
1,8.0,2.0,0.15,0.73952,0.8266,0.7577,0.8416,0.9059
1,8.0,2.5,0.0,0.74334,0.8435,0.8006,0.8521,0.9202
1,8.0,2.5,0.02,0.73833,0.8275,0.7507,0.8439,0.9053
1,8.0,2.5,0.05,0.74430,0.8108,0.7234,0.8242,0.8920
1,8.0,2.5,0.15,0.76131,0.7813,0.6872,0.7824,0.8651
1,8.0,3.0,0.0,0.76504,0.8174,0.7857,0.8355,0.9058
1,8.0,3.0,0.02,0.76096,0.7877,0.6814,0.7981,0.8750
1,8.0,3.0,0.05,0.77146,0.7665,0.6493,0.7625,0.8571
1,8.0,3.0,0.15,0.79789,0.7285,0.6079,0.6996,0.7970
